,ID
418,1385521808670031873
419,1385521805276950531
420,1385521802550693894
421,1385521801401339904
422,1385521796561006599
423,1385521785387446274
424,1385521780773691395
425,1385521766424928256
426,1385521764302790660
427,1385521757071630343
428,1385521754978672643
429,1385521734556676096
430,1385521734049177600
431,1385521728630267906
432,1385521728495882241
433,1385521726042279938
434,1385521719620694017
435,1385521716303073283
436,1385521712318517248
437,1385521708120084481
438,1385521705196695554
439,1385521703049064450
440,1385521702910795777
441,1385521699010064384
442,1385521659851853825
443,1385521656731291648
444,1385521655057952770
445,1385521653740838915
446,1385521652507631617
447,1385521651199008771
448,1385521642944618499
449,1385521642202271745
450,1385521641111887873
451,1385521638523822081
452,1385521630504361985
453,1385521628260429825
454,1385521626574323713
455,1385521621180551173
456,1385521618546356225
457,1385521618206687233
458,1385521615258095618
459,1385521607913914368
460,1385521607746232320
461,1385521605887991812
462,1385521598648647689
463,1385521598107557891
464,1385521593678323712
465,1385521593619681283
466,1385521584409034754
467,1385521581238149120
468,1385521571217821699
469,1385521569469014016
470,1385521558408548354
471,1385521544588320768
472,1385521539475394561
473,1385521530625355780
474,1385521526632419328
475,1385521518973788160
476,1385521515102343171
477,1385521509632856070
478,1385521497595424769
479,1385521490767003649
480,1385521481598357507
481,1385521459708272642
482,1385521456164003841
483,1385521455954280450
484,1385521454922420229
485,1385521452590403584
486,1385521451151761418
487,1385521449260228608
488,1385521443878805504
489,1385521443165794304
490,1385521442838695938
491,1385521437352529927
492,1385521431052705793
493,1385521428217294848
494,1385521425226756099
495,1385521394952417282
496,1385521389633826823
497,1385521376098885636
498,1385521373083312130
499,1385521372474929152
500,1385521369706909696
501,1385521367211151360
502,1385521366837858307
503,1385521362471641092
504,1385521358063341571
505,1385521357077635072
506,1385521355844640771
507,1385521351176323073
508,1385521349666299905
509,1385521343324696577
510,1385521337494474753
511,1385521336630480899
512,1385521336118910976
513,1385521333698707457
514,1385521333698584576
515,1385521331609952257
516,1385521324983033856
517,1385521318297276416
518,1385521309174714369
519,1385521302736306179
520,1385521300072849409
521,1385521296948318213
522,1385521296016961540
523,1385521295568171012
524,1385521290891517956
525,1385521288492507141
526,1385521287775277058
527,1385521282834259972
528,1385521273564897283
529,1385521272063504385
530,1385521268422701058
531,1385521262500270084
532,1385521259522531330
533,1385521256867397633
534,1385521256745684997
535,1385521251062489090
536,1385521247031730187
537,1385521246608236548
538,1385521240014737409
539,1385521238383206402
540,1385521230057558016
541,1385521225372426240
542,1385521222176358402
543,1385521217902313476
544,1385521197815791616
545,1385521196444393472
546,1385521193931792385
547,1385521167889428481
548,1385521167734214657
549,1385521158091681792
550,1385521149027651589
