,ID
2331,1385533603099054082
2332,1385533559327191043
2333,1385533555200040962
2334,1385533527693930501
2335,1385533514515374081
2336,1385533502029012993
2337,1385533483376791553
2338,1385533460291493889
2339,1385533452754194434
2340,1385533438665666565
2341,1385533431140929540
2342,1385533425726070788
2343,1385533422609780745
2344,1385533404863733760
2345,1385533352439070721
2346,1385533334047047683
2347,1385533323972210688
2348,1385533317940924420
2349,1385533273665785858
2350,1385533271082250241
2351,1385533260634234881
2352,1385533256867721216
2353,1385533256204910593
2354,1385533213678911489
2355,1385533196893396995
2356,1385533168699285505
2357,1385533139632619520
2358,1385533117767815168
2359,1385533098448736256
2360,1385532985873604609
2361,1385532985466888196
2362,1385532939815899141
2363,1385532912112574466
2364,1385532891115921408
2365,1385532884891619328
2366,1385532883763335168
2367,1385532860229197829
2368,1385532857683111936
2369,1385532848912879617
2370,1385532837328310275
2371,1385532822815842304
2372,1385532807653507073
2373,1385532791656493056
2374,1385532791530704898
2375,1385532784320598016
2376,1385532753014362112
2377,1385532742247620616
2378,1385532737600303104
2379,1385532737554165762
2380,1385532720156192770
2381,1385532712014909444
2382,1385532707447451655
2383,1385532701227184130
2384,1385532698207326210
2385,1385532671464382466
2386,1385532666045403137
2387,1385532659976130562
2388,1385532652917121025
2389,1385532633459806208
2390,1385532632696377346
2391,1385532630175727624
2392,1385532624941240321
2393,1385532619262205953
2394,1385532608818425856
2395,1385532602791104513
2396,1385532601251909635
2397,1385532590698991616
2398,1385532582834671619
2399,1385532569668657157
2400,1385532568599154690
2401,1385532562190209029
2402,1385532560504233985
2403,1385532543680847872
2404,1385532536647000064
2405,1385532484671217668
2406,1385532450235891713
2407,1385532419839696901
2408,1385532390559342600
2409,1385532344828760065
2410,1385532339128836099
2411,1385532333877391363
2412,1385532318836797443
2413,1385532287408820231
2414,1385532266827313154
2415,1385532232270553088
2416,1385532209029808129
2417,1385532202897838081
2418,1385532150267604993
2419,1385532122123866113
2420,1385532058303299584
2421,1385532002993123331
2422,1385531980184424448
2423,1385531959678365701
2424,1385531957665275904
2425,1385531934743224322
2426,1385531917139857408
2427,1385531914799489028
2428,1385531898575736835
2429,1385531861313626119
2430,1385531857542909956
2431,1385531824861032450
2432,1385531784079761415
2433,1385531776940920834
2434,1385531774759931911
2435,1385531763972206593
2436,1385531742287716353
2437,1385531730107322370
2438,1385531717327282177
2439,1385531698801119235
2440,1385531680539217922
2441,1385531617410703360
2442,1385531603846189059
2443,1385531587912257537
2444,1385531571902455810
2445,1385531566500327424
2446,1385531541254639628
2447,1385531526356504577
2448,1385531487555104768
2449,1385531486481223683
2450,1385531451559579648
2451,1385531435310854147
2452,1385531416562130948
2453,1385531416172240902
2454,1385531401991122950
2455,1385531393787285504
2456,1385531388196237314
2457,1385531375260868609
2458,1385531370735296512
2459,1385531345166868484
2460,1385531323003981826
2461,1385531291055968256
2462,1385531273196687362
2463,1385531239541641219
2464,1385531203386626050
2465,1385531194637524993
2466,1385531162534236161
2467,1385531120087752709
2468,1385531118682841089
2469,1385531116640096259
2470,1385531114958336000
2471,1385531112504578049
2472,1385531102937243652
2473,1385531075158495234
2474,1385531050701459457
2475,1385531038328295425
2476,1385531029004464130
2477,1385530981034070016
2478,1385530908329926660
2479,1385530898834096131
2480,1385530852273098755
2481,1385530840281534464
2482,1385530788050083840
2483,1385530783654465538
2484,1385530773273382914
2485,1385530769498460164
2486,1385530750708162560
2487,1385530744718696448
2488,1385530717728219137
2489,1385530699369881602
2490,1385530699038478338
2491,1385530692709269506
2492,1385530662015352834
2493,1385530655367327749
2494,1385530642683895810
2495,1385530640586653696
2496,1385530640230232069
2497,1385530604591239168
2498,1385530597590769664
2499,1385530596680773639
2500,1385530580826271745
2501,1385530540296704003
2502,1385530540162527233
2503,1385530532763602945
2504,1385530524421132292
2505,1385530483728011264
2506,1385530443357904897
2507,1385530411128872963
2508,1385530403633704961
2509,1385530392938049543
2510,1385530382301364226
2511,1385530372868374531
2512,1385530363158487045
2513,1385530355969523720
2514,1385530355491377157
2515,1385530312872976385
2516,1385530298750885889
2517,1385530290991419392
2518,1385530281302523906
2519,1385530254115053572
2520,1385530237128122368
2521,1385530205314322432
2522,1385530164902309888
2523,1385530148246622209
2524,1385530132991938562
2525,1385530097218768898
2526,1385530081402032129
2527,1385530019187941376
2528,1385530018009427969
2529,1385530010946187264
2530,1385529972253593600
2531,1385529957217099782
2532,1385529916087693315
2533,1385529906663067650
2534,1385529891781812226
2535,1385529857535209482
2536,1385529849113088001
2537,1385529834365935620
2538,1385529833375944704
2539,1385529824152805378
2540,1385529813520175110
2541,1385529799049895937
2542,1385529739046051840
2543,1385529727834722307
2544,1385529699518926852
2545,1385529690169823233
2546,1385529672130203651
2547,1385529657450192898
2548,1385529636122157058
2549,1385529625091080199
2550,1385529610499198979
2551,1385529597140242432
2552,1385529578983100416
2553,1385529566479933440
2554,1385529560171692035
2555,1385529552353447938
2556,1385529507122188288
2557,1385529496887906307
2558,1385529494514057222
2559,1385529475958513665
2560,1385529429351407619
2561,1385529412041330688
2562,1385529411429142528
2563,1385529409738788866
2564,1385529397805867014
2565,1385529395239002118
2566,1385529394060423171
2567,1385529390075826179
2568,1385529388863692808
2569,1385529366348804098
2570,1385529358626951171
2571,1385529350661963776
2572,1385529342302638082
2573,1385529335101067268
2574,1385529309675147264
2575,1385529302847041544
2576,1385529293791547395
2577,1385529273654693892
2578,1385529266729672708
2579,1385529198278754306
2580,1385529191072940033
2581,1385529177764466689
2582,1385529173037432833
2583,1385529166301384704
2584,1385529149863829510
2585,1385529142704152582
2586,1385529140577718272
2587,1385529140514807809
2588,1385529132746874882
2589,1385529132327456770
2590,1385529129995444225
2591,1385529110777122816
2592,1385529103596486660
2593,1385529092234113024
2594,1385529084269285378
2595,1385529064543424512
2596,1385529055634546694
2597,1385529038328979459
2598,1385529022499770368
2599,1385529003507740676
2600,1385529002387988480
2601,1385528988001505281
2602,1385528973959090182
2603,1385528877611720704
2604,1385528877519458304
2605,1385528876781260800
2606,1385528868790964224
2607,1385528866052087814
2608,1385528862159695875
2609,1385528777640484870
2610,1385528776973508610
2611,1385528761886539776
2612,1385528751124004869
2613,1385528746963259393
2614,1385528739530956800
2615,1385528730379034624
2616,1385528716516724738
2617,1385528706819559425
2618,1385528620148396035
2619,1385528607460757504
2620,1385528593346793475
2621,1385528564724899841
2622,1385528556785074178
2623,1385528533653598208
2624,1385528485381296130
2625,1385528471619661826
2626,1385528406993895430
2627,1385528404368404481
2628,1385528394675326978
2629,1385528355441627137
2630,1385528342724575235
2631,1385528284570476544
2632,1385528276844564481
2633,1385528262856568832
2634,1385528221555437569
2635,1385528219604901894
2636,1385528211316961285
2637,1385528201640914944
2638,1385528200416006147
2639,1385528101468196868
2640,1385528073639051265
2641,1385528043075117059
2642,1385528014734200832
2643,1385528013844926464
2644,1385528011890610180
2645,1385528010242084867
2646,1385527995700420609
2647,1385527994224037893
2648,1385527987802570756
2649,1385527984384270338
2650,1385527962771107840
2651,1385527914922340352
2652,1385527881556586496
2653,1385527867824500739
2654,1385527859972689922
2655,1385527816859566082
2656,1385527780293496834
2657,1385527759787630597
2658,1385527752619610114
2659,1385527712006160385
2660,1385527658444824577
2661,1385527626710716416
2662,1385527616392908800
2663,1385527564089839619
2664,1385527540467441671
2665,1385527521026904068
2666,1385527469998952452
2667,1385527450063577091
2668,1385527422846570502
2669,1385527398934802435
2670,1385527384586264577
2671,1385527384498065412
2672,1385527345587572738
2673,1385527345105149954
2674,1385527302893801472
2675,1385527296719683587
2676,1385527285143412736
2677,1385527279690862592
2678,1385527275781726211
2679,1385527254365659140
2680,1385527234392383491
2681,1385527179212201985
2682,1385527165324648455
2683,1385527128607895552
2684,1385527127827750913
2685,1385527124161810438
2686,1385527121230114817
2687,1385527108664020995
2688,1385527103341297667
2689,1385527101567107073
2690,1385527072014041094
2691,1385527066968264710
2692,1385527056281133061
2693,1385526993681207303
2694,1385526932209430531
2695,1385526920004182016
2696,1385526893240221701
2697,1385526865952231424
2698,1385526858884820993
2699,1385526854791024641
2700,1385526831068205056
2701,1385526828807254016
2702,1385526799782793219
2703,1385526797169827840
2704,1385526783844311041
2705,1385526717205213189
2706,1385526709038899200
2707,1385526706287562755
2708,1385526695478784002
2709,1385526694891737089
2710,1385526673781628929
2711,1385526661513424898
2712,1385526631637295104
2713,1385526574737367043
2714,1385526566948540416
2715,1385526546195169283
2716,1385526487357411329
2717,1385526440280707073
2718,1385526434517577732
2719,1385526425697071104
2720,1385526425537581058
2721,1385526412120150019
2722,1385526384831995904
2723,1385526378766929923
2724,1385526377571667968
2725,1385526364997132289
2726,1385526360269942787
2727,1385526358592434176
2728,1385526349637509124
2729,1385526324328996866
2730,1385526315021914116
2731,1385526290283913217
2732,1385526289847799812
2733,1385526255093682177
2734,1385526240099115013
2735,1385526198315462657
2736,1385526184583196677
2737,1385526164505124865
2738,1385526146012520451
2739,1385526142787100675
2740,1385526124999028736
2741,1385526106212605954
2742,1385526068921122816
2743,1385526058514935809
